City_ID,City,Country,Date,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed
0,Namibe,AO,2021-11-21 00:59:31,-15.1961,12.1522,67.05,79,100,3.18
1,Marsabit,KE,2021-11-21 00:59:31,2.3284,37.9899,65.28,83,9,15.03
2,Binga,ZW,2021-11-21 00:59:31,-17.6203,27.3414,74.25,73,100,2.1
3,Souillac,MU,2021-11-21 00:59:32,-20.5167,57.5167,76.35,88,75,5.75
4,Port Alfred,ZA,2021-11-21 00:59:32,-33.5906,26.891,64.0,84,98,18.81
5,Ulaangom,MN,2021-11-21 00:59:32,49.9811,92.0667,5.86,64,16,4.88
6,Apam,GH,2021-11-21 00:59:33,5.2848,-0.7371,79.93,86,12,5.66
7,Dikson,RU,2021-11-21 00:59:33,73.5069,80.5464,-8.95,80,58,16.26
8,Saint-Philippe,RE,2021-11-21 00:59:33,-21.3585,55.7679,74.75,75,11,8.66
9,Mahebourg,MU,2021-11-21 00:59:33,-20.4081,57.7,76.24,88,75,5.75
10,Busselton,AU,2021-11-21 00:59:34,-33.65,115.3333,73.04,45,100,6.78
11,Saint Anthony,US,2021-11-21 00:59:34,45.0205,-93.218,38.32,66,20,0.0
12,Hithadhoo,MV,2021-11-21 00:54:43,-0.6,73.0833,79.21,85,100,14.94
13,Thompson,CA,2021-11-21 00:59:34,55.7435,-97.8558,14.16,79,40,5.75
14,Bredasdorp,ZA,2021-11-21 00:59:34,-34.5322,20.0403,61.29,80,100,15.82
15,La Rioja,ES,2021-11-21 00:59:35,42.25,-2.5,39.04,84,100,4.85
16,Bongandanga,CD,2021-11-21 00:59:35,1.5,21.05,68.85,97,89,0.54
17,Sao Filipe,CV,2021-11-21 00:59:35,14.8961,-24.4956,78.89,78,100,6.11
18,Sao Joao Da Barra,BR,2021-11-21 00:57:05,-21.6403,-41.0511,70.74,84,100,14.2
19,Akureyri,IS,2021-11-21 00:59:35,65.6835,-18.0878,17.53,86,0,6.91
20,Grindavik,IS,2021-11-21 00:59:36,63.8424,-22.4338,34.27,80,75,11.5
21,Havre-Saint-Pierre,CA,2021-11-21 00:59:36,50.2334,-63.5986,33.8,79,1,5.75
22,Upernavik,GL,2021-11-21 00:59:36,72.7868,-56.1549,7.79,74,100,9.31
23,Ongandjera,NA,2021-11-21 00:59:36,-17.8833,15.0667,75.11,21,7,4.72
24,Pisco,PE,2021-11-21 00:59:37,-13.7,-76.2167,64.45,88,0,17.27
25,Horbranz,AT,2021-11-21 00:59:37,47.55,9.75,45.52,84,90,5.01
26,Yar-Sale,RU,2021-11-21 00:59:37,66.8333,70.8333,8.13,94,100,16.42
27,Qaanaaq,GL,2021-11-21 00:55:45,77.484,-69.3632,-8.37,71,0,6.71
28,Klaksvik,FO,2021-11-21 00:56:56,62.2266,-6.589,40.12,75,100,32.06
29,Punta Arenas,CL,2021-11-21 00:57:11,-53.15,-70.9167,41.11,65,20,27.63
30,Saldanha,ZA,2021-11-21 00:57:08,-33.0117,17.9442,62.65,81,6,12.01
31,Vila Velha,BR,2021-11-21 00:55:12,-20.3297,-40.2925,71.55,95,90,8.99
32,Vagur,FO,2021-11-21 00:59:38,61.4732,-6.8119,42.44,70,54,29.93
33,Luderitz,NA,2021-11-21 00:59:38,-26.6481,15.1594,57.63,93,0,13.09
34,Cape Town,ZA,2021-11-21 00:57:02,-33.9258,18.4232,64.27,66,0,5.75
35,Arraial Do Cabo,BR,2021-11-21 00:56:17,-22.9661,-42.0278,71.19,71,99,11.79
36,Pudozh,RU,2021-11-21 00:59:38,61.8099,36.5345,26.01,95,83,6.15
37,Opuwo,NA,2021-11-21 00:59:39,-18.0607,13.84,68.56,26,3,5.12
38,Salinopolis,BR,2021-11-21 00:59:39,-0.6136,-47.3561,79.7,84,27,11.7
39,Richards Bay,ZA,2021-11-21 00:59:39,-28.783,32.0377,63.59,87,100,2.93
40,Chuy,UY,2021-11-21 00:59:39,-33.6971,-53.4616,61.72,74,0,5.23
41,East London,ZA,2021-11-21 00:59:40,-33.0153,27.9116,63.32,89,100,11.41
42,Benghazi,LY,2021-11-21 00:59:40,32.1167,20.0667,66.15,69,39,11.27
43,Ushuaia,AR,2021-11-21 00:59:40,-54.8,-68.3,35.26,93,90,28.77
44,Tasiilaq,GL,2021-11-21 01:00:40,65.6145,-37.6368,28.56,95,100,17.45
