City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
0,Viransehir,TR,37.2353,39.7631,52.16,63,5,4.21,clear sky
1,Maldonado,UY,-34.6667,-54.9167,75.22,50,4,9.62,clear sky
2,Busselton,AU,-33.65,115.3333,64.04,56,30,14.58,scattered clouds
3,Port Elizabeth,ZA,-33.918,25.5701,68.09,93,95,4.32,overcast clouds
4,Qaanaaq,GL,77.484,-69.3632,-9.33,73,22,5.79,few clouds
5,Ostrovnoy,RU,68.0531,39.5131,27.64,90,100,24.32,light snow
6,Ushuaia,AR,-54.8,-68.3,37.06,75,75,23.02,broken clouds
7,Bonfim,BR,3.0833,-59.95,77.34,86,100,2.53,overcast clouds
8,Lusambo,CD,-4.9667,23.45,68.81,99,100,1.14,light rain
9,Riyadh,SA,24.6877,46.7219,68.14,32,87,14.05,overcast clouds
10,Aasiaat,GL,68.7098,-52.8699,21.02,78,100,7.27,overcast clouds
11,Arlit,NE,18.7369,7.3853,73.92,22,1,1.34,clear sky
12,Henties Bay,NA,-22.116,14.2845,59.86,91,0,6.89,clear sky
13,Sao Filipe,CV,14.8961,-24.4956,81.97,64,100,12.06,overcast clouds
14,Port Alfred,ZA,-33.5906,26.891,69.6,81,100,15.57,overcast clouds
15,Saldanha,ZA,-33.0117,17.9442,62.24,88,0,13.06,clear sky
16,Carberry,CA,49.8689,-99.3602,6.66,88,22,8.7,few clouds
17,Bredasdorp,ZA,-34.5322,20.0403,62.28,90,100,15.37,light rain
18,Gbarnga,LR,6.9956,-9.4722,71.22,99,34,1.28,light rain
19,Carnarvon,AU,-24.8667,113.6333,70.12,55,0,19.26,clear sky
20,Beloha,MG,-25.1667,45.05,65.1,73,0,10.16,clear sky
21,Upernavik,GL,72.7868,-56.1549,3.99,88,39,7.49,scattered clouds
22,Nuuk,GL,64.1835,-51.7216,29.01,86,90,4.61,light snow
23,Bilma,NE,18.6853,12.9164,75.29,23,0,7.47,clear sky
24,Tafo,GH,6.7345,-1.6127,71.76,95,4,3.27,clear sky
25,Cidreira,BR,-30.1811,-50.2056,68.86,76,0,14.38,clear sky
26,Punta Arenas,CL,-53.15,-70.9167,39.31,75,75,18.41,broken clouds
